1 Facility Name,2 Street Address,3 city,4 state,5 ZIP Code,6 Phone,7 Designation,acr_site_id,facility_id,Registry Participant
Meadows Regional Medical Cente,1 Meadows Pkwy,Vidalia,GA,30474-8759,912-535-5496,LCSR,10062705,115647,YES
Crozer Chester Medical Center,1 Medical Center Blvd,Chester,PA,19013-3902,610-447-6155,Lung Cancer Screening Designated Site,10072915,107668,YES
Cookeville Regional Medical Center,1 Medical Center Blvd,Cookeville,TN,38501-4294,931-783-5621,LCSR,10066335,106262,YES
Dartmouth-Hitchcock Medical Center,1 Medical Center Dr,Lebanon,NH,03756-1000,603-650-5000,Lung Cancer Screening Designated Site,10062111,101493,YES
Southern Maine Health Care,1 Medical Center Dr,Biddeford,ME,04005-9422,207-283-7815,LCSR,10065192,104489,YES
West Virginia University Hospitals,1 Medical Center Dr,Morgantown,WV,26506-1200,304-598-4252,LCSR,10068233,101243,YES
Atrium Medical Center,1 Medical Center Dr,Middletown,OH,45005-2584,513-705-4063,LCSR,10077537,107380,YES
Wheeling Hospital,1 Medical Park,Wheeling,WV,26003-6379,304-243-3270,Lung Cancer Screening Designated Site,10070205,104587,YES
Bristol Regional Medical Center,1 Medical Park Blvd,Bristol,TN,37620-7430,423-844-2340,LCSR,10065768,107196,YES
Saline Health System,1 Medical Park Dr,Benton,AR,72015-3353,501-776-6183,LCSR,10081402,112871,YES
Minden Medical Center,1 Medical Plaza Pl,Minden,LA,71055-3330,318-371-5650,LCSR,10079850,114558,YES
St Elizabeth Edgewood,1 Medical Village Dr,Edgewood,KY,41017-3403,859-212-5425,Lung Cancer Screening Designated Site,10067932,105340,YES
Excela Health - Latrobe Hospital,1 Mellon Way Latrobe Hospital: Ultrasound Department,Latrobe,PA,15650,,Lung Cancer Screening Designated Site,10096659,1174,NO
Alton Memorial Hospital,1 Memorial Dr,Alton,IL,62002-6722,618-463-7311,LCSR,10076536,116120,YES
Ascension Via Christi Pittsburg,1 Mt Carmel Way,Pittsburg,KS,66762-7587,620-232-0129,LCSR,10066789,105688,YES
Armstrong County Memorial Hospital,1 Nolte Dr,Kittanning,PA,16201-7111,724-543-8441,Lung Cancer Screening Designated Site,10073268,100911,YES
Bassett Healthcare Network A O Fox Hospital,1 Norton Ave,Oneonta,NY,13820-2629,607-431-5012,LCSR,10065663,112426,YES
Mass General Brigham Community Physicians,1 Park Way Cat Scan,Haverhill,MA,01830,978-556-5722,LCSR,10067215,114103,YES
Summa Health Center at White Pond,1 Park West Blvd Ste 130,Akron,OH,44320-4230,330-375-3000,LCSR,10072542,106670,YES
Parkland Medical Center,1 Parkland Dr,Derry,NH,03038-2746,603-421-2018,LCSR,10062621,104864,YES
Rhode Island Medical Imaging -RS,1 Randall Sq Ste 101,Providence,RI,02904-2751,401-272-5500,LCSR,10065853,101359,YES
Riverview Medical Center,1 Riverview Plz,Red Bank,NJ,07701-1864,732-530-2467,LCSR,10074064,114048,YES
Oakbrook Terrace Imaging,1 s 260 Summit,Oakbrook Terrace,IL,60181,630-953-6900,Lung Cancer Screening Designated Site,10082477,8047,YES
Univ of Wisconsin Medical Foundation Med Imag,1 S Park St,Madison,WI,53715-1375,608-287-2078,Lung Cancer Screening Designated Site,10060991,100472,YES
OSF Saint Anthony Health Center,1 Saint Anthonys Way,Alton,IL,62002-4568,618-465-2571,LCSR,10073845,106131,YES
HSHS St Elizabeth Hospital,1 Saint Elizabeth Blvd,O Fallon,IL,62269-1099,618-234-2120,LCSR,10083515,112743,YES
St Francis Downtown,1 Saint Francis Dr,Greenville,SC,29601-3955,864-255-1800,LCSR,10060002,102115,YES
UPMC Passavant Cranberry,1 Saint Francis Way,Cranberry Twp,PA,16066-5119,412-748-7396,Lung Cancer Screening Designated Site,10077429,115170,YES
CHI Saint Joseph Hospital,1 Saint Joseph Dr,Lexington,KY,40504-3742,502-210-4497,LCSR,10065506,105627,YES
Mercy Medical Center Centerville,1 Saint Joseph Dr,Centerville,IA,52544-9017,641-437-3462,LCSR,10064274,113960,YES
Saredon Place,1 Saredon Pl Ste 200,Rochester,NY,14606-4063,443-852-8065,Lung Cancer Screening Designated Site,10105609,116222,YES
Ascension St. Vincent's Riverside,1 Shircliff Way Main Hospital,Jacksonville,FL,32204,904-308-8321,LCSR,10068525,116327,YES
Overlook Imaging,1 Springfield Ave Ste 1C,Summit NJ,NJ,07901-4055,908-598-6652,Lung Cancer Screening Designated Site,10092287,52648,YES
WESTMED Medical Group -Rye,1 Theall Rd,Rye,NY,10580-1404,914-848-8850,LCSR,10065646,104019,YES
Baptist Health Corbin,1 Trillium Way,Corbin,KY,40701-8426,606-523-8702,LCSR,10064468,105426,YES
UPMC Pinnacle at Dillsburg,1 Trinity Dr E Ste 130,Dillsburg,PA,17019-8522,717-791-2402,Lung Cancer Screening Designated Site,10069816,103876,YES
East Norriton Outpatient Facility,1 W Germantown Pike,East Norriton,PA,19401-1513,610-239-1500,LCSR,10062767,104073,YES
Jefferson Outpatient Imaging,1 WGermantown Pike,East Norriton,PA,19401,215-503-4900,Lung Cancer Screening Designated Site,10080086,52662,YES
Huron Valley Sinai Hospital,1 William Carls Dr,Commerce Township,MI,48382-2201,248-937-3444,Lung Cancer Screening Designated Site,10064330,104203,YES
Miami Valley Hospital,1 Wyoming St,Dayton,OH,45409-2722,937-208-3231,Lung Cancer Screening Designated Site,10067957,112867,YES
Miami Valley Hospital,1 Wyoming Street Suite 4120 Breast Center,Dayton,OH,45409,,Lung Cancer Screening Designated Site,10084420,10639,NO
Loyola Center for Health at Oakbrook Terrace,1S224 Summit Ave,Oakbrook Terrace,IL,60181-3983,708-216-3928,LCSR,10090218,110571,YES
CDI Brunswick ME,2 Admiral Fitch Ave Ste A,Brunswick,ME,04011-2995,207-844-5679,LCSR,10066165,112864,YES
Bon Secours Mary Immaculate Hospital,2 Bernardine Dr,Newport News,VA,23602-4404,757-886-6763,LCSR,10062304,111104,YES
Crystal Run Healthcare Physicians LLP,2 Centerock Rd,West Nyack,NY,10994-2215,845-703-3694,Lung Cancer Screening Designated Site,10098250,224239,YES
Crystal Run Health Transformation LLC WN,2 Centerock Rd,West Nyack,NY,10994-2215,845-703-6999,LCSR,10079658,114708,YES
Clifton Springs Hospital,2 Coulter Road Radiology Department,Clifton Springs,NY,14432,315-462-1711,Lung Cancer Screening Designated Site,10082082,224711,YES
AMP IMAGING,2 Ellinwood Dr,New Hartford,NY,13413-1102,315-316-0670,LCSR,10081506,112139,YES
SSM HEALTH GOOD SAMARITAN,2 Good Samaritan Way Breast Imaging Center,Mount Vernon,IL,62864,618-899-1875,LCSR,10068000,100975,YES
Sutter Imaging Roseville II,2 Medical Plaza Dr Ste 105,Roseville,CA,95661-3042,916-865-1462,LCSR,10075471,106073,YES
South Shore Hospital,2 Pond Park Rd,Hingham,MA,02043-4347,781-624-8126,Lung Cancer Screening Designated Site,10079229,53505,YES
Progress West,2 Progress Point Pkwy,O Fallon,MO,63368-2205,636-916-7098,LCSR,10064836,115420,YES
Specialty Imaging Associates,2 Riverview Dr Ste 104,Danbury,CT,06810-6268,203-426-3002,LCSR,10063089,114494,YES
St Joseph Memorial Hospital,2 S Hospital Dr,Murphysboro,IL,62966-3333,618-684-3156,LCSR,10079887,105768,YES
CHI St Vincent,2 Saint Vincent Cir,Little Rock,AR,72205-5423,501-552-4621,LCSR,10064856,105771,YES
Albany Advanced Imaging,3 Atrium Dr Ste 160,Albany,NY,12205-1432,518-438-0600,LCSR,10061864,109379,YES
Jefferson Univ Rad Assocdba/Jefferson Outpatient Imaging,3 Crescent Dr Ste 1002,Philadelphia,PA,19112-1016,215-503-4900,Lung Cancer Screening Designated Site,10086382,226351,YES
Advanced Radiology Consultants,3 Enterprise Dr Ste 220,Shelton,CT,06484-4694,203-696-3642,LCSR,10097399,107019,YES
St Luke’s East Stroudsburg Health Center,3 Parkinsons Rd,East Stroudsburg,PA,18301-8087,484-526-4683,LCSR,10078840,107529,YES
Palm Coast Imaging Center,3 Pine Cone Dr Ste 101,Palm Coast,FL,32137-8684,386-274-7118,LCSR,10062465,100548,YES
Carilion Riverside 3,3 Riverside Cir,Roanoke,VA,24016-4955,540-526-1000,LCSR,10068587,116175,YES
RAYUS Radiology Lake in the Hills,4 Cedar Ridge Dr Ste D,Lake in the Hills,IL,60156-4712,847-458-6736,LCSR,10072408,109447,YES
Advanced Radiology Consultants Shelton,4 Corporate Dr Ste 182,Shelton,CT,06484-6263,203-337-9729,Lung Cancer Screening Designated Site,10068736,7991,YES
St Anthony Medical Center,4 Hospital Dr,Morrilton,AR,72110-4510,501-977-2300,LCSR,10073526,111126,YES
Zwanger - Pesiri Radiology - Port Jefferson,4 Medical Dr,Port Jefferson Station,NY,11776-1601,631-992-6468,LCSR,10062334,114691,YES
Natick Urgent Care,4 Mercer Rd,Natick,MA,01760-2415,508-318-4466,Lung Cancer Screening Designated Site,10070873,114961,YES
RIA at Sterling,4 Pidgeon Hill Dr,Sterling,VA,20165-6173,703-450-5800,Lung Cancer Screening Designated Site,10076412,100938,YES
Pinckneyville Community Hospital,4 S Walnut St,Pinckneyville,IL,62274-1339,618-357-3243,LCSR,10089688,107279,YES
Steinberg Diagnostic Medical Imaging - Green Valley,4 Sunset Way Ste D,Henderson,NV,89014-2016,702-732-6000,Lung Cancer Screening Designated Site,10086317,5493,YES
Wellspan Good Samaritan Hospital,4th & Walnut Streets,Lebanon,PA,17042,717-270-7629,Lung Cancer Screening Designated Site,10071389,11465,YES
Exeter Hospital,5 Alumni Dr,Exeter,NH,03833-2128,603-580-7682,Lung Cancer Screening Designated Site,10064227,106807,YES
LHR-Columbus Circle,5 Columbus Circle (1790 Broadway) 9th Floor/Lower Level,New York,NY,10019,212-590-2900,LCSR,10066255,101854,YES
MOUNT SINAI DOCTORS LONG ISLAND,5 Cuba Hill Rd,GREENLAWN,NY,11740-1624,631-628-5201,Lung Cancer Screening Designated Site,10075160,225094,YES
Center for Advanced Diagnostic Imaging,5 Lower Ragsdale Dr Ste 103,Monterey,CA,93940-5817,831-649-4999,Lung Cancer Screening Designated Site,10064273,115155,YES
Hackensack Radiology - Hoboken,5 Marine View Plz Ste 100,Hoboken,NJ,07030-5752,201-488-2660,LCSR,10107199,116710,YES
Providence St Joseph Medical Center - Polson,6 13th Ave E,Polson,MT,59860-5315,406-883-3680,LCSR,10070756,107659,YES
Rhode Island Medical Imaging- Lincoln,6 Blackstone Valley Pl Ste 506,Lincoln,RI,02865-1102,401-334-3693,LCSR,10081690,100631,YES
Tolland Imaging,6 Fieldstone Cmns,Tolland,CT,06084-3419,860-896-4848,LCSR,10069536,101906,YES
Pen Bay Medical Center,6 Glen Cove Dr,Rockport,ME,04856-4272,207-301-8514,LCSR,10062512,111102,YES
Darien Imaging,6 Thorndal Cir Ste 104,Darien,CT,06820-5415,203-276-6116,Lung Cancer Screening Designated Site,10070781,105349,YES
Penobscot Valley Hospital,7 Transalpine Rd,Lincoln,ME,04457-4222,207-794-7118,LCSR,10072420,110693,YES
NYU Langone Radiology—Metropolitan Diagnostic,7th street,Garden City,NY,11530,516-747-0166,LCSR,10078581,106455,YES
Southern NH Medical Center,8 Prospect St,Nashua,NH,03060-3925,603-577-2000,LCSR,10064003,104113,YES
Quakerbridge Office,8 Quakerbridge Plz,Mercerville,NJ,08619-1255,609-890-0033,LCSR,10070302,104687,YES
Bond Street,9 Bond St,Brooklyn,NY,11201-5388,718-222-3000,LCSR,10063509,107157,YES
Forsgate Office,9 Centre Dr,Monroe Twp,NJ,08831-5153,609-655-7798,LCSR,10073114,104686,YES
DOCTORS PARK,9 Doctors Park,Greenville,NC,27834-2801,252-752-5000,LCSR,10082758,103352,YES
Bourbon Community Hospital,9 Linville Dr,Paris,KY,40361-2129,859-987-1070,LCSR,10080151,106717,YES
CHI Health Good Samaritan,10 E 31st St,Kearney,NE,68847-2908,308-865-7555,LCSR,10076842,105787,YES
McLeod Health Clarendon,10 E Hospital St,Manning,SC,29102-3153,180-382-5535,Lung Cancer Screening Designated Site,10075315,116075,YES
Linden Oaks,10 Hagen Dr,Rochester,NY,14625-2660,585-241-6400,Lung Cancer Screening Designated Site,10080213,114739,YES
Ellenville Regional Hospital,10 Healthy Way,Ellenville,NY,12428-5612,845-210-3038,LCSR,10072764,115296,YES
Bridgton Hospital,10 Hospital Dr,Bridgton,ME,04009-1148,207-647-6256,LCSR,10072781,115150,YES
Barnes Jewish St Peters Hospital,10 Hospital Dr,Saint Peters,MO,63376-1659,636-916-9000,Lung Cancer Screening Designated Site,10060208,109211,YES
Parkview Wabash Hospital,10 John Kissinger Dr,Wabash,IN,46992-1648,260-569-2198,LCSR,10094707,114065,YES
Clark Fork Valley Hospital (Child),10 Kruger Road,Plains,MT,59859-9271,406-826-4800,LCSR,10086080,109331,YES
UMMS Shore Regional Health DIC Easton,10 Martin Ct,Easton,MD,21601-4095,410-822-1000,LCSR,10071227,109224,YES
Northwell Health Imaging @ Glen Cove,10 Medical Plz Ste 106,Glen Cove,NY,11542-2101,516-674-0500,LCSR,10064466,101438,YES
SJ/C Imaging Center-Bluffton,10 Oak Forest Rd,Bluffton,SC,29910,843-836-4300,LCSR,10103065,103416,YES
Imaging Center at LGH Chelmsford,10 Research Pl,North Chelmsford,MA,01863-2456,978-614-3202,Lung Cancer Screening Designated Site,10080800,106047,YES
10 St Patrick's Waldorf,10 Saint Patricks Dr,Waldorf,MD,20603-4527,301-705-7870,Lung Cancer Screening Designated Site,10069346,116141,YES
MetroHealth Cleveland Heights Medical Center,10 Severance Cir,Cleveland Heights,OH,44118-1533,216-691-8535,LCSR,10060995,114148,YES
Geisinger Medical Group-Tunkhannock,10 Trieble Dr,Tunkhannock,PA,18657-7054,570-996-2700,LCSR,10069535,101559,YES
Mount Desert Island Hospital,10 Wayman Ln,Bar Harbor,ME,04609-1625,207-288-5082,LCSR,10086774,100557,YES
Newport Hospital,11 Friendship St,Newport,RI,02840-2209,401-845-1347,Lung Cancer Screening Designated Site,10081843,112702,YES
University of California San Francisco,11 Irving St,San Francisco,CA,94122-2766,415-353-8784,LCSR,10062906,106573,YES
Ramapo Diagnostic Imaging,11 N Airmont Rd,Suffern,NY,10901-5103,845-357-7245,LCSR,10065605,105676,YES
Frisbie Memorial Hospital,11 Whitehall Rd,Rochester,NH,03867-3226,603-332-5211,LCSR,10076800,104369,YES
Middlesex Hospital- Marlborough Medical Center,12 Jones Hollow Rd,Marlborough,CT,06447-1139,860-358-6947,Lung Cancer Screening Designated Site,10061399,51463,YES
MedStar Health Bel Air Medical Campus,12 Medstar Blvd Ste 150,Bel Air,MD,21015-1823,443-625-5430,LCSR,10068179,107204,YES
WellSpan Health Campus,12 St Paul Dr Ste 102-103,Chambersburg,PA,17201-1035,717-267-6116,Lung Cancer Screening Designated Site,10083752,6514,YES
Middlesex Health Marlborough Medical Center,14 Jones Hollow Rd,Marlborough,CT,06447-1448,860-358-3087,LCSR,10099665,104000,YES
Milford Regional Medical Center,14 Prospect St,Milford,MA,01757-3003,508-422-2922,Lung Cancer Screening Designated Site,10062604,100318,YES
Advanced Radiology Consultants- Trumbull,15 Corporate Dr,Trumbull,CT,06611-1351,203-337-9729,Lung Cancer Screening Designated Site,10075276,915,YES
Hillcrest Clinic & Imaging,15 Earnest Dr,Blairsville,GA,30512-8627,706-745-8790,LCSR,10062025,115217,YES
York Hospital York Campus,15 Hospital Dr,York,ME,03909-1011,207-351-2345,LCSR,10062284,104435,YES
St Anthony Community Hospital,15 Maple Ave,Warwick,NY,10990-1028,845-986-2276,LCSR,10066424,105713,YES
The University of Vermont Health Network - CVPH Valcour Imaging,16 Degrandpre Way Ste 400,Plattsburgh,NY,12901-6452,518-563-1900,Lung Cancer Screening Designated Site,10067900,9693,YES
Speare Memorial Hospital,16 Hospital Rd,Plymouth,NH,03264-1126,603-238-6432,LCSR,10063981,115615,YES
Geisinger Woodbine Outpatient Clinic,16 Woodbine Ln,Danville,PA,17821-8029,570-271-8050,LCSR,10096107,101560,YES
Brattleboro Memorial Hospital,17 Belmont Ave,Brattleboro,VT,05301-7601,802-257-8332,LCSR,10067135,115974,YES
Delta Convenient Care PC,17 Centre Plaza Dr,Jackson,TN,38305-2862,731-664-0720,LCSR,10060660,105956,YES
Auburn Community Hospital,17 Lansing St,Auburn,NY,13021-1983,315-255-7440,LCSR,10060588,107672,YES
Heights Imaging,17 White Horse Pike,Haddon Heights,NJ,08035-1299,443-436-1106,LCSR,10075243,107673,YES
Kennedy,18 E Laurel Rd,Stratford,NJ,08084-1327,856-346-7844,Lung Cancer Screening Designated Site,10076169,104909,YES
Mid-Rockland Imaging Center,18 Squadron Blvd,New City,NY,10956-5210,845-634-9729,LCSR,10063657,106948,YES
Radiology Associates of Ridgewood,20 Franklin Tpke,Waldwick,NJ,07463-1749,201-445-8822,LCSR,10060806,104100,YES
Montclair Radiology - Nutley,20 High St,Nutley,NJ,07110-1132,973-284-1881,Lung Cancer Screening Designated Site,10071509,101677,YES
Logan Regional Medical Center,20 Hospital Dr,Logan,WV,25601-3452,304-831-1248,LCSR,10061658,104716,YES
Crestwood-Madison Out Patient Diagnostics,20 Hughes Rd Ste 102,Madison,AL,35758-2435,256-429-5608,LCSR,10073615,112239,YES
Brigham Health and Brigham and Women's/Mass G,20 Patriot Pl # 20PP-1,Foxborough,MA,02035-1375,508-718-4025,LCSR,10094126,115655,YES
Compass Medical,21 Bristol Dr Ste 102,South Easton,MA,02375-1199,508-565-7222,Lung Cancer Screening Designated Site,10079545,107001,YES
Advanced Radiology- Owings Mills,21 Crossroads Dr Ste 100,Owings Mills,MD,21117-5484,443-409-3238,LCSR,10069173,104543,YES
Mission Cancer Center,21 Hospital Dr,Asheville,NC,28801-4550,828-213-2500,LCSR,10060015,103730,YES
Town Center Imaging,21 Hospital Dr Ste 130,Palm Coast,FL,32164-2453,386-274-7118,LCSR,10077153,100547,YES
NJIN Toms River East,21 Stockton Dr,Toms River,NJ,08755-6433,732-286-6333,LCSR,10071073,106972,YES
Selinsgrove Imaging Center,21 Susquehanna Valley Mall Dr,Selinsgrove,PA,17870-9148,570-374-4411,LCSR,10083177,115677,YES
Maine Medical Center,22 Bramhall St,Portland,ME,04102-3134,207-662-2571,LCSR,10062119,103648,YES
Boyertown Imaging Pottstown Hospital,23 N Walnut St,Boyertown,PA,19512-1736,610-367-8844,Lung Cancer Screening Designated Site,10069854,107653,YES
AfterHours ImagingLLC,24 Hammond Ln,Plattsburgh,NY,12901-2006,518-324-7403,LCSR,10104381,109035,YES
Franciscan Health Dyer,24 Joliet St,Dyer,IN,46311-1705,219-865-2141,LCSR,10067741,108966,YES
Geisinger South Wilkes-Barre,25 Church St,Wilkes Barre,PA,18765-0999,570-808-3100,LCSR,10067713,114683,YES
Heritage Valley Kennedy,25 Heckel Rd,Mc Kees Rocks,PA,15136-1651,724-773-2071,LCSR,10063030,115648,YES
ANNA JAQUES HOSPITAL,25 Highland Ave,Newburyport,MA,01950-3867,978-463-1122,Lung Cancer Screening Designated Site,10075053,109036,YES
Cherry Tree Medical Associates Inc,25 Highland Park Dr,Uniontown,PA,15401-8402,724-438-3040,Lung Cancer Screening Designated Site,10062649,1044,YES
Hilton Head Healthcare,25 Hospital Center Blvd,Hilton Head Island,SC,29926-2738,843-689-8276,LCSR,10071344,110527,YES
Elliot CT at Bedford,25 Leavey Dr,Bedford,NH,03110-4437,603-663-3979,Lung Cancer Screening Designated Site,10080735,114443,YES
Central DuPage Hospital,25 N Winfield Rd,Winfield,IL,60190-1379,630-933-5058,LCSR,10073784,106134,YES
Saint Clares Denville,25 Pocono Rd,Denville,NJ,07834-2954,973-625-6649,Lung Cancer Screening Designated Site,10071661,105757,YES
NJIN Cranford,25 S Union Ave,Cranford,NJ,07016-2843,908-709-1323,LCSR,10070500,106958,YES
Westerly Hospital,25 Wells St,Westerly,RI,02891-2922,401-348-3696,LCSR,10060437,104431,YES
Virtua Health and Wellness Center- New Hanover,25 Wrightstown-Cookstown Road,New Hanover,NJ,08511-1021,609-444-0610,Lung Cancer Screening Designated Site,10084532,222768,YES
UPMC Jameson,26 Nesbitt Rd,New Castle,PA,16105-3410,724-656-6036,LCSR,10079184,112642,YES
Geisinger Mifflintown (JVM),27 Cjems Ln,Mifflintown,PA,17059-8384,717-436-5578,LCSR,10076314,114690,YES
Cape Cod Hospital,27 Park St,Hyannis,MA,02601-5230,508-862-5647,LCSR,10061861,106006,YES
Health Village Imaging,27 S Cooks Bridge Rd Ste 1-6,Jackson,NJ,08527-2460,732-497-1200,Lung Cancer Screening Designated Site,10098241,114777,YES
Middlesex Health Main Campus,28 Crescent St,Middletown,CT,06457-3654,860-358-6861,Lung Cancer Screening Designated Site,10061135,103959,YES
Middlesex Hospital,28 Crescent Street Attention: Radiology Department,Middletown,CT,06457,,Lung Cancer Screening Designated Site,10090671,10072,NO
Premier Radiology Belle Meade,28 White Bridge Pike Ste 111,Nashville,TN,37205-1466,615-356-3999,Lung Cancer Screening Designated Site,10064091,112839,YES
BAYONNE MEDICAL CENTER,29 E 29th St,Bayonne,NJ,07002-4654,201-858-7812,LCSR,10064709,106041,YES
CareMount Medical,30 Columbia St,Poughkeepsie,NY,12601-3906,914-242-5617,LCSR,10063656,107063,YES
Atlantic Medical Imaging,30 E Maryland Ave,Somers Point,NJ,08244-2451,609-677-9729,Lung Cancer Screening Designated Site,10067575,7073,YES
BROOMALL IMAGING,30 Lawrence Rd Ste 300,Broomall,PA,19008-3301,484-446-3611,Lung Cancer Screening Designated Site,10060242,106895,YES
Hackensack University Medical Center,30 Prospect Ave,Hackensack,NJ,07601-1915,201-996-2000,LCSR,10107445,101288,YES
Appleton Area Health Services,30 S Behl St,Appleton,MN,56208-1616,320-289-8516,LCSR,10067304,112881,YES
Hackensack Radiology Group,30 S Newman St,Hackensack,NJ,07601-3210,201-488-1188,LCSR,10066144,101671,YES
Guthrie Medical Group Big Flats,31 Arnot Rd,Horseheads,NY,14845-8533,607-795-5100,LCSR,10061384,101909,YES
Desert Radiologists Nellis,31 N Nellis Blvd,Las Vegas,NV,89110-5330,702-835-4900,Lung Cancer Screening Designated Site,10066552,102259,YES
Salem Radiology A Dept of Parkland Medical C,31 Stiles Rd Ste 1200,Salem,NH,03079-2958,603-890-2800,LCSR,10065914,105184,YES
Rockville General Hospital,31 Union St,Vernon Rockville,CT,06066-3126,860-872-5241,Lung Cancer Screening Designated Site,10071369,101903,YES
Susquehanna Health-SSMH,32 Central Ave,Wellsboro,PA,16901,570-723-0294,LCSR,10074482,104326,YES
Univeristy of Texas Medical Branch - Angleton,32 E Hospital Dr,Angleton,TX,77515,832-904-8082,LCSR,10107468,116027,YES
UPMC Pinnacle-Hershey,32 Northeast Dr,Hershey,PA,17033-2755,717-791-2402,Lung Cancer Screening Designated Site,10083381,103901,YES
Bone and Joint Institute at Hartford Hospital Imaging Center,32 Seymour Street,Hartford Hospital,CT,06106-3321,860-972-3574,Lung Cancer Screening Designated Site,10077334,224426,YES
Tully Health Center,32 Strawberry Hill Ct,Stamford,CT,06902-2594,203-276-2000,Lung Cancer Screening Designated Site,10068804,105350,YES
UPMC Wellsboro,32-36 Central Ave,Wellsboro,PA,16901-1840,570-723-0160,Lung Cancer Screening Designated Site,10107463,226567,YES
Marshwood Imaging Center,33 Gorham Rd,Scarborough,ME,04074-9841,952-525-6318,LCSR,10061347,101186,YES
CareMount Medical 2,34 S Bedford Rd,Mount Kisco,NY,10549-5402,914-242-5617,LCSR,10062582,107060,YES
Northside Riverdale Imaging,34 Upper Riverdale Rd SE Ste 102,Riverdale,GA,30274-2635,770-991-6001,LCSR,10072356,110945,YES
Union General Hospital,35 Hospital Rd,Blairsville,GA,30512-3139,706-439-6429,LCSR,10080376,115988,YES
MaineGeneral Medical Center,35 Medical Center Pkwy,Augusta,ME,04330-8160,207-621-9414,LCSR,10067388,103814,YES
Yale New Haven,35 Park St,New Haven,CT,06519-1110,203-200-5229,LCSR,10073839,100520,YES
Vernon Imaging,35 Talcottville Rd,Vernon,CT,06066-5261,203-949-3520,LCSR,10075838,114034,YES
